phylum,class,order,family,genus,stage,age,extinction,temp,change_prev,trend.st1,trend.st2,trend.st3,trend.st4,trend.st5,trend.st6,trend.st7,trend.st8,trend.st9,trend.st10,trend_genus,trend_family,trend_order
Echinodermata,Crinoidea,Monobathrida,Glyptocrinidae,Abludoglyptocrinus,19,449.1,1,21.42014404148,-0.17133677655151536,-0.6287308216391512,-0.5085699404031155,-0.5868765364977532,-0.5501758728000007,-0.5501758728000007,-0.5501758728000007,-0.5501758728000007,-0.5501758728000007,-0.5501758728000007,-0.5501758728000007,-0.6287308216391512,-0.5501758728000007,-0.5501758728000007
Echinodermata,Crinoidea,Monobathrida,Glyptocrinidae,Abludoglyptocrinus,18,455.7,0,22.55096676672,-0.6287308216391639,-0.3497752641103457,-0.6009918362631582,-0.5348416852994012,-0.5348416852994012,-0.5348416852994012,-0.5348416852994012,-0.5348416852994012,-0.5348416852994012,-0.5348416852994012,-0.5348416852994012,NA,-0.5348416852994012,-0.5348416852994012
Echinodermata,Crinoidea,Monobathrida,Glyptocrinidae,Abludoglyptocrinus,17,462.85,0,27.04639214144,-0.3497752641103537,-0.8915728285538171,-0.5628202158197082,-0.5628202158197082,-0.5628202158197082,-0.5628202158197082,-0.5628202158197082,-0.5628202158197082,-0.5628202158197082,-0.5628202158197082,-0.5628202158197082,NA,-0.5628202158197082,-0.5628202158197082
Echinodermata,Holothuroidea,Apodida,Myriotrochidae,Acanthotheelia,58,204.9,1,23.3933988941,-0.12192164751460707,-0.07445674586526337,-0.20649046965708368,-0.24500007167419935,-0.10661829165468513,-0.0743785751315857,-0.07942063181717562,-0.06457487845584008,-0.012223415024214366,-0.003532380002007976,-0.004801341426963586,-0.10661829165468513,0.02125819242488942,0.012015344009951927
Echinodermata,Holothuroidea,Apodida,Myriotrochidae,Acanthotheelia,57,218.25,0,25.02105288842,-0.07445674586526273,-0.5442530993571418,-0.44458609728368853,-0.02396397615964646,0.02050153307311546,-0.008480172638770458,0.003954665892709205,0.07973472737503091,0.06992019482911391,0.051312106494784106,0.031242617132879194,-0.02396397615964646,0.024766636531724777,0.014494256618808527
Echinodermata,Holothuroidea,Apodida,Myriotrochidae,Acanthotheelia,56,232.5,0,26.082061517,-0.5442530993571473,-0.2926768613372559,0.45334874610413634,0.356380095424538,0.2263329491742544,0.17549020834223136,0.22962122569469454,0.1676370687340068,0.11730661266729535,0.07467881762449742,-0.03485090840537337,0.45334874610413634,0.026649446224451843,0.0156380610654359
Echinodermata,Holothuroidea,Apodida,Myriotrochidae,Acanthotheelia,55,239.5,0,29.8918332125,-0.2926768613372592,1.309384210526092,0.6889050737408611,0.34289353307189496,0.20346347775330162,0.27136776208884295,0.1707907405296209,0.10490260128036953,0.05536309229322066,-0.06949488816786792,0.026246760481211728,1.309384210526092,0.023403298095428793,0.012207997647992215
Echinodermata,Holothuroidea,Apodida,Myriotrochidae,Acanthotheelia,54,244.6,0,31.38448520532,1.3093842105261047,-0.7135062208330064,-0.8747306939732494,-0.2922611070611724,0.11992855036654926,0.05420222141359423,0.008514037941510828,-0.022720985132783915,-0.14230171361879457,-0.010847417340854591,0.04246461538977772,NA,0.017306429201653446,0.006233789861765022
Echinodermata,Holothuroidea,Apodida,Myriotrochidae,Acanthotheelia,53,249.2,0,25.3613178369,-0.7135062208329868,-1.1939817904174956,-0.0208284511332424,0.31724785743843953,0.15107036945802302,0.06743797888625798,0.013393438278044824,-0.1361100993811566,0.00906012305088353,0.06355375517885252,0.08126648753138098,NA,0.018862967775394226,0.007096275505868057
Echinodermata,Holothuroidea,Apodida,Achistridae,Achistrum,75,106.75,1,28.531240573,0.8685566907510194,-0.2914252379512204,-0.0737179206626506,-0.06150032115050235,-0.23848877684663422,-0.2164410392451302,-0.17944228273025853,-0.11626338900019412,-0.06951260163482255,-0.01914339658528527,-0.007026114690745371,-0.02364480244773252,-0.02364480244773252,-0.02364480244773252
