order,superfamily,family,genus,fad,lad
Miliolida,Alveolinoidea,Alveolinidae,Alveolinella,13.82,0
Miliolida,Alveolinoidea,Alveolinidae,Flosculinella,20.44,13.27
Miliolida,Alveolinoidea,Alveolinidae,Alveolina,59.18,33.9
Miliolida,Alveolinoidea,Alveolinidae,Borelis,41.2,0
Miliolida,Alveolinoidea,Alveolinidae,Bullalveolina,33.9,23.03
Miliolida,Alveolinoidea,Alveolinidae,Globoreticulina,47.8,37.8
Miliolida,Alveolinoidea,Alveolinidae,Glomalveolina,61.6,37.8
Miliolida,Alveolinoidea,Alveolinidae,Malatyna,47.8,41.2
Miliolida,Alveolinoidea,Alveolinidae,Praebullalveolina,41.2,33.9
Miliolida,Alveolinoidea,Alveolinidae,Archaealveolina,126.3,113
Miliolida,Alveolinoidea,Alveolinidae,Cisalveolina,100.5,93.9
Miliolida,Alveolinoidea,Alveolinidae,Helenalveolina,88,85
Miliolida,Alveolinoidea,Alveolinidae,Multispirina,100.5,93.9
Miliolida,Alveolinoidea,Alveolinidae,Ovalveolina,113,93.9
Miliolida,Alveolinoidea,Alveolinidae,Praealveolina,111.5,89.8
Miliolida,Alveolinoidea,Alveolinidae,Senalveolina,86,83.6
Miliolida,Alveolinoidea,Alveolinidae,Simplalveolina,100.5,93.9
Miliolida,Alveolinoidea,Alveolinidae,Streptalveolina,100.5,96
Miliolida,Alveolinoidea,Alveolinidae,Subalveolina,84.3,72.1
Miliolida,Alveolinoidea,Fabulariidae,Fabularia,47.8,33.9
Miliolida,Alveolinoidea,Fabulariidae,Lacazina,89.8,28.1
Miliolida,Alveolinoidea,Fabulariidae,Lacazinella,59.2,33.9
Miliolida,Alveolinoidea,Fabulariidae,Neolacazopsis,47.8,33.9
Miliolida,Alveolinoidea,Fabulariidae,Pseudofabularia,47.8,37.8
Miliolida,Alveolinoidea,Fabulariidae,Pseudolacazina,86.3,33.9
Miliolida,Alveolinoidea,Fabulariidae,Adrahentina,72.1,66
