occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso
30259,occ,29799,,2225,Tropidemys,genus,37701,Valanginian,,139.8,132.9,50311,Chordata,33815,Reptilia,36322,Testudinata,106739,NO_FAMILY_SPECIFIED,NF,Tropidemys,37701,NA,Tropidemys,,,NA,sp.,
40162,occ,NA,,3113,Cheilophis,genus,38095,Thanetian,,59.2,56,140,Chordata,33815,Reptilia,36322,Squamata,36379,Boidae,38086,Cheilophis,38095,NA,Cheilophis,,,NA,huerfanoensis,
40164,occ,NA,,3113,Palaeophis,genus,36405,Thanetian,,59.2,56,140,Chordata,33815,Reptilia,36322,Squamata,36379,Palaeophiidae,65114,Palaeophis,36405,NA,Palaeophis,,,NA,littoralis,
40165,occ,NA,,3113,Peritresius,genus,36360,Thanetian,,59.2,56,140,Chordata,33815,Reptilia,36322,Testudines,56475,Pancheloniidae,165650,Peritresius,36360,NA,Peritresius,,,NA,ornatus,
40166,occ,NA,,3113,Euclastes,genus,67331,Thanetian,,59.2,56,140,Chordata,33815,Reptilia,36322,Testudines,56475,Pancheloniidae,165650,Euclastes,67331,NA,Rhetechelys,,,NA,platyops,
40169,occ,NA,,3113,Thoracosaurus,genus,38458,Thanetian,,59.2,56,140,Chordata,33815,Reptilia,36322,Crocodylia,36582,NO_FAMILY_SPECIFIED,NF,Thoracosaurus,38458,NA,Thoracosaurus,,,NA,neocesariensis,
68301,occ,NA,,4884,Ichthyosaurus,genus,36558,Sinemurian,,199.3,190.8,299,Chordata,33815,Reptilia,36322,Ichthyosauria,36543,Ichthyosauridae,38877,Ichthyosaurus,36558,NA,Ichthyosaurus,,,NA,sp.,
76211,occ,NA,,5607,Prognathodon,genus,36412,Early Campanian,,83.5,70.6,338,Chordata,33815,Reptilia,36322,Squamata,36379,Mosasauridae,38049,Prognathodon,36412,NA,Prognathodon,,,NA,stadtmani,n. sp.
76224,occ,29157,,5609,Trinacromerum,genus,36523,Late Cenomanian,,99.6,93.5,33381,Chordata,33815,Reptilia,36322,Sauropterygia,38164,Polycotylidae,100152,Trinacromerum,36523,NA,Trinacromerum,,,NA,bentonianum,?
130209,occ,NA,,10755,Chaoyangsaurus,genus,55579,Late Tithonian,Valanginian,150.8,132.9,13360,Chordata,33815,Ornithischia,38712,NO_ORDER_SPECIFIED,NO,Chaoyangsauridae,66631,Chaoyangsaurus,55579,NA,Chaoyangosaurus,n. gen.,,NA,liaosiensis,n. sp.
