"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"29" "Arthropoda" "Insecta" "Orthoptera" "Gryllidae" "Abanaxipha" 20.44 13.82 90 91
"39" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Ablabesmyia" 38 13.82 86 91
"41" "Arthropoda" "Arachnida" "Araneae" "Phrurolithidae" "Ablator" 38 33.9 86 87
"66" "Arthropoda" "Insecta" "Orthoptera" "Prophalangopsidae" "Aboilus" 196.5 113 60 74
"87" "Arthropoda" "Ostracoda" "Podocopida" "Bairdiidae" "Abrobairdia" 279.3 252.17 46 52
"104" "Arthropoda" "Insecta" "Hymenoptera" "Pelecinidae" "Abropelecinus" 125.45 93.5 74 77
"113" "Arthropoda" "Insecta" "Hymenoptera" "Ichneumonidae" "Acaenitus" 37.2 23.03 87 89
"115" "Arthropoda" "Insecta" "Coleoptera" "Curculionidae" "Acalles" 37.2 23.03 87 89
"117" "Arthropoda" "Myriapoda" "Euphoberiida" "Euphoberiidae" "Acantherpestes" 318.1 306.95 39 41
"143" "Arthropoda" "Ostracoda" "Podocopida" "Trachyleberididae" "Acanthocythereis" 66 0.781 82 94
"146" "Arthropoda" "Insecta" "Coleoptera" "Cerambycidae" "Acanthoderes" 12.7 11.608 91 92
"155" "Arthropoda" "Insecta" "Hymenoptera" "Pamphiliidae" "Acantholyda" 23.03 5.333 90 92
"172" "Arthropoda" "Trilobita" "Phacopida" "Cheiruridae" "Acanthoparypha" 471.8 449.5 15 19
"213" "Arthropoda" "Trilobita" "Proetida" "Phillipsiidae" "Acanthophillipsia" 279.3 254.17 46 51
"218" "Arthropoda" "Trilobita" "Lichida" "Lichidae" "Acanthopyge" 433.4 382.7 24 33
"246" "Arthropoda" "Ostracoda" "Podocopida" "Beecherellidae" "Acanthoscapha" 460.9 232 17 56
"285" "Arthropoda" "Insecta" "Hemiptera" "Acanthosomatidae" "Acanthosoma" 15.97 7.246 91 92
"297" "Arthropoda" "Trilobita" "Phacopida" "Acastidae" "Acastava" 419.2 407.6 29 30
"306" "Arthropoda" "Trilobita" "Phacopida" "Acastidae" "Acaste" 440.8 391.9 22 32
