"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"1" "Mollusca" "Bivalvia" "Cardiida" "Semelidae" "Abra" 56 0 84 94
"254" "Mollusca" "Bivalvia" "Cardiida" "Cardiidae" "Acanthocardia" 66 0 82 94
"444" "Mollusca" "Bivalvia" "Pectinida" "Limipectinidae" "Acanthopecten" 364.7 252.17 35 52
"583" "Mollusca" "Bivalvia" "Arcida" "Arcidae" "Acar" 83.5 0 80 94
"757" "Mollusca" "Bivalvia" "Pectinida" "Limidae" "Acesta" 201.3 0.0117 59 94
"856" "Mollusca" "Bivalvia" "Solemyida" "Solemyidae" "Acharax" 130 2.588 73 93
"898" "Mollusca" "Bivalvia" "Nuculida" "Nuculidae" "Acila" 125 0.0117 74 94
"1220" "Mollusca" "Bivalvia" "Cardiida" "Tellinidae" "Acorylus" 11.62 0.126 92 94
"1222" "Mollusca" "Bivalvia" "Cardiida" "Cardiidae" "Acrosterigma" 15.97 0.0117 91 94
"1249" "Mollusca" "Bivalvia" "Myalinida" "Inoceramidae" "Actinoceramus" 113 86.3 75 78
"1342" "Mollusca" "Bivalvia" "Ostreida" "Pterineidae" "Actinodesma" 410.8 382.4 30 34
"1405" "Mollusca" "Bivalvia" "Unionida" "Actinodontophoridae" "Actinodontophora" 272.3 252.17 47 52
"1408" "Mollusca" "Bivalvia" "Ostreida" "Pterineidae" "Actinopterella" 427.4 419.2 26 28
"1411" "Mollusca" "Bivalvia" "Ostreida" "Pterineidae" "Actinopteria" 443.4 254.17 21 51
"1790" "Mollusca" "Bivalvia" "Ostreida" "Palaeolophidae" "Actinostreon" 232 93.5 56 77
"2399" "Mollusca" "Bivalvia" "Ostreida" "Flemingostreidae" "Acutostrea" 99.6 23.03 76 89
"2540" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Adamussium" 28.1 0.781 89 94
