"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"1" "Cnidaria" "Anthozoa" "Favositida" "Pachyporidae" "Acaciapora" 346.7 268 37 48
"6" "Cnidaria" "Anthozoa" "Scleractinia" "Mussidae" "Acanthastrea" 28.1 0 89 94
"100" "Cnidaria" "Anthozoa" "Scleractinia" "Rhipidogyridae" "Acanthogyra" 164.7 100.5 66 75
"119" "Cnidaria" "Anthozoa" "Heliolitida" "Halysitidae" "Acanthohalysites" 443.4 423 21 27
"125" "Cnidaria" "Anthozoa" "Stauriida" "Ptenophyllidae" "Acanthophyllum" 423 268.8 28 47
"277" "Cnidaria" "Anthozoa" "Heliolitida" "Plasmoporellidae" "Acdalopora" 460.9 443.7 17 21
"286" "Cnidaria" "Anthozoa" "Stauriida" "Acervulariidae" "Acervularia" 433.4 382.7 24 33
"324" "Cnidaria" "Anthozoa" "Heliolitida" "Coccoserididae" "Acidolites" 460.9 433.4 17 23
"344" "Cnidaria" "Anthozoa" "Stauriida" "Eridophyllidae" "Acinophyllum" 419.2 372.2 29 34
"373" "Cnidaria" "Anthozoa" "Stauriida" "Acrophyllidae" "Acrophyllum" 419.2 382.7 29 33
"381" "Cnidaria" "Anthozoa" "Scleractinia" "Acroporidae" "Acropora" 59.2 0 83 94
"1939" "Cnidaria" "Anthozoa" "Coenothecalia" "Helioporidae" "Acropsammia" 23.03 5.333 90 92
"1941" "Cnidaria" "Anthozoa" "Scleractinia" "Acrosmiliidae" "Acrosmilia" 174.1 33.9 63 87
"2004" "Cnidaria" "Anthozoa" "Scleractinia" "Actinacididae" "Actinacis" 130 15.97 73 90
"2189" "Cnidaria" "Anthozoa" "Scleractinia" "Actinacididae" "Actinaraea" 190.8 20.44 61 90
"2289" "Cnidaria" "Anthozoa" "Scleractinia" "Actinastreidae" "Actinastrea" 237 20.44 56 90
"2563" "Cnidaria" "Anthozoa" "Stauriida" "Axophyllidae" "Actinocyathus" 346.7 323.2 37 38
"2570" "Cnidaria" "Anthozoa" "Stauriida" "Antiphyllidae" "Actinophrentis" 307 272.3 41 46
"2580" "Cnidaria" "Anthozoa" "Auloporida" "Aulocystidae" "Adaverina" 456.1 423 18 27
"2583" "Cnidaria" "Anthozoa" "Scleractinia" "Stylinidae" "Adelocoenia" 168.3 93.5 65 77
"2684" "Cnidaria" "Anthozoa" "Scleractinia" "Agariciidae" "Agaricia" 28.4 0 88 94
"3125" "Cnidaria" "Anthozoa" "Scleractinia" "Agatheliidae" "Agathelia" 145 28.1 70 88
"3146" "Cnidaria" "Anthozoa" "Scleractinia" "Faviidae" "Agathiphyllia" 66 5.333 82 92
"3227" "Cnidaria" "Anthozoa" "Favositida" "Agetolitidae" "Agetolitella" 460.9 443.7 17 21
"3235" "Cnidaria" "Anthozoa" "Favositida" "Agetolitidae" "Agetolites" 460.9 443.4 17 21
"3290" "Cnidaria" "Anthozoa" "Scleractinia" "Latomeandridae" "Aggomorphastraea" 167.7 161.2 65 67
"3293" "Cnidaria" "Anthozoa" "Scleractinia" "Actinastreidae" "Agrostyliastraea" 122.46 100.5 74 75
"3295" "Cnidaria" "Anthozoa" "Auloporida" "Romingeriidae" "Ainia" 433.4 150.8 24 69
"3297" "Cnidaria" "Anthozoa" "Stauriida" "Waagenophyllidae" "Akagophyllum" 306.95 259.9 41 49
"3308" "Cnidaria" "Anthozoa" "Stauriida" "Disphyllidae" "Alaiophyllum" 387.7 370.6 33 35
"3318" "Cnidaria" "Anthozoa" "Scleractinia" "Volzeiidae" "Alakiria" 228 199.3 57 59
"3321" "Cnidaria" "Anthozoa" "Scleractinia" "Actinastreidae" "Allocoenia" 167.7 145 65 69
"3336" "Cnidaria" "Anthozoa" "Scleractinia" "Actinastreidae" "Allocoeniopsis" 201.3 140.2 59 70
"3363" "Cnidaria" "Anthozoa" "Stauriida" "Hapsiphyllidae" "Allotropiochisma" 307 254.17 41 51
"3371" "Cnidaria" "Anthozoa" "Stauriida" "Hapsiphyllidae" "Allotropiophyllum" 358.9 252.17 36 52
"3405" "Cnidaria" "Anthozoa" "Scleractinia" "Alpinophylliidae" "Alpinophyllia" 237 201.3 56 58
"3415" "Cnidaria" "Anthozoa" "Scleractinia" "Alpinophylliidae" "Alpinoseris" 228 201.3 57 58
"3417" "Cnidaria" "Anthozoa" "Stauriida" "Streptelasmatidae" "Altaiophyllum" 393.3 382.7 32 33
"3421" "Cnidaria" "Anthozoa" "Stauriida" "Entelophyllidae" "Altaja" 433.4 423 24 27
"3431" "Cnidaria" "Anthozoa" "Favositida" "Alveolitidae" "Alveolitella" 419.2 372.2 29 34
"3475" "Cnidaria" "Anthozoa" "Favositida" "Alveolitidae" "Alveolites" 443.4 254.17 21 51
"3983" "Cnidaria" "Anthozoa" "Scleractinia" "Poritidae" "Alveopora" 66 0 82 94
"4118" "Cnidaria" "Anthozoa" "Stauriida" "Durhaminidae" "Amandophyllum" 318.1 290.1 39 44
"4124" "Cnidaria" "Anthozoa" "Stauriida" "Disphyllidae" "Amaraphyllum" 393.3 382.7 32 33
"4126" "Cnidaria" "Anthozoa" "Scleractinia" "Pamiroseriidae" "Ampakabastraea" 228 157.3 57 67
"4162" "Cnidaria" "Anthozoa" "Scleractinia" "Amphiastreidae" "Amphiastrea" 170.3 93.9 64 76
"4265" "Cnidaria" "Anthozoa" "Scleractinia" "Amphiastreidae" "Amphiaulastrea" 157.3 113 68 74
"4284" "Cnidaria" "Anthozoa" "Stauriida" "Stereolasmatidae" "Amplexiphyllum" 409.1 382.7 30 33
"4358" "Cnidaria" "Anthozoa" "Stauriida" "Hapsiphyllidae" "Amplexizaphrentis" 419.2 254.17 29 51
"4466" "Cnidaria" "Anthozoa" "Stauriida" "Laccophyllidae" "Amplexocarinia" 393.3 252.17 32 52
"4524" "Cnidaria" "Anthozoa" "Stauriida" "Amplexidae" "Amplexoides" 443.4 410.8 21 29
"4556" "Cnidaria" "Anthozoa" "Stauriida" "Amplexidae" "Amplexus" 449.5 272.3 19 46
"4656" "Cnidaria" "Anthozoa" "Stauriida" "Amsdenoididae" "Amsdenoides" 443.4 419.2 21 28
"4658" "Cnidaria" "Anthozoa" "Stauriida" "Geyerophyllidae" "Amygdalophylloides" 346.7 268.8 37 47
"4676" "Cnidaria" "Anthozoa" "Stauriida" "Aulophyllidae" "Amygdalophyllum" 358.9 268.8 36 47
"4692" "Cnidaria" "Anthozoa" "Scleractinia" "Andemantastraeidae" "Andemantastraea" 182.7 145 62 69
"4711" "Cnidaria" "Anthozoa" "Scleractinia" "Procyclolitidae" "Andrazella" 237 215.56 56 57
"4719" "Cnidaria" "Anthozoa" "Scleractinia" "Faviidae" "Anisocoenia" 33.9 0.0117 88 94
"4733" "Cnidaria" "Anthozoa" "Stauriida" "Anisophyllidae" "Anisophyllum" 443.4 419.2 21 28
"4736" "Cnidaria" "Anthozoa" "Scleractinia" "Caryophylliidae" "Anomocora" 37.2 15.97 87 90
"4738" "Cnidaria" "Anthozoa" "Scleractinia" "Anthemiphylliidae" "Anthemiphyllia" 37.2 0.0117 87 94
"4743" "Cnidaria" "Anthozoa" "Stauriida" "Petalaxidae" "Antheria" 306.95 295.5 41 43
"4748" "Cnidaria" "Anthozoa" "Scleractinia" "Stylophyllidae" "Anthostylis" 228 201.3 57 58
"4759" "Cnidaria" "Anthozoa" "Scleractinia" "Faviidae" "Antiguastrea" 99.6 5.333 76 92
"4895" "Cnidaria" "Anthozoa" "Scleractinia" "Caryophylliidae" "Antillocyathus" 23.03 2.588 90 93
"4953" "Cnidaria" "Anthozoa" "Scleractinia" "Faviidae" "Antillophyllia" 28.1 0 89 94
"4967" "Cnidaria" "Anthozoa" "Scleractinia" "Calamophylliidae" "Antilloseris" 56 33.9 84 87
"4981" "Cnidaria" "Anthozoa" "Stauriida" "Ptenophyllidae" "Aphroidophyllum" 419.2 387.7 29 32
"4986" "Cnidaria" "Anthozoa" "Stauriida" "Aphrophyllidae" "Aphrophyllum" 358.9 326.4 36 38
"4996" "Cnidaria" "Anthozoa" "Cystiphyllida" "Tryplasmatidae" "Aphyllum" 445.6 382.7 19 33
"5041" "Cnidaria" "Anthozoa" "Scleractinia" "Stylinidae" "Aplophyllia" 161.2 145 67 69
"5043" "Cnidaria" "Anthozoa" "Scleractinia" "Dendrophylliidae" "Aplopsammia" 113 93.9 75 76
"5045" "Cnidaria" "Anthozoa" "Scleractinia" "Rhipidogyridae" "Aplosmilia" 168.3 136.4 65 71
"5089" "Cnidaria" "Anthozoa" "Scleractinia" "Cladophylliidae" "Apocladophyllia" 166.1 113 66 74
"5105" "Cnidaria" "Anthozoa" "Scleractinia" "Faviidae" "Aquitanastraea" 28.1 7.246 89 92
"5129" "Cnidaria" "Anthozoa" "Scleractinia" "Mussidae" "Aquitanophyllia" 23.03 11.62 90 92
"5140" "Cnidaria" "Anthozoa" "Stauriida" "Aulophyllidae" "Arachnolasma" 346.7 290.1 37 44
"5171" "Cnidaria" "Anthozoa" "Stauriida" "Arachnophyllidae" "Arachnophyllum" 443.4 419.2 21 28
"5201" "Cnidaria" "Anthozoa" "Scleractinia" "Microsolenidae" "Araiophyllum" 237 171.6 56 63
