"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"26" "Echinodermata" "Echinoidea" "Clypeasteroida" "Abertellidae" "Abertella" 23.03 5.333 90 92
"32" "Echinodermata" "Crinoidea" "Monobathrida" "Glyptocrinidae" "Abludoglyptocrinus" 460.9 449.5 17 19
"78" "Echinodermata" "Holothuroidea" "Apodida" "Myriotrochidae" "Acanthotheelia" 247.2 205.6 53 58
"100" "Echinodermata" "Holothuroidea" "Apodida" "Achistridae" "Achistrum" 407.6 100.5 31 75
"264" "Echinodermata" "Crinoidea" "Eustenocrinida" "Acolocrinidae" "Acolocrinus" 485.4 443.4 14 21
"307" "Echinodermata" "Echinoidea" "Arbacioida" "Arbaciidae" "Acropeltis" 163.5 145 67 69
"311" "Echinodermata" "Echinoidea" "Salenioida" "Acrosaleniidae" "Acrosalenia" 182.7 132.9 62 72
"387" "Echinodermata" "Crinoidea" "Monobathrida" "Actinocrinitidae" "Actinocrinites" 372.2 290.1 35 44
"466" "Echinodermata" "Asteroidea" "Paxillosida" "Astropectinidae" "Advenaster" 171.6 166.1 63 65
"468" "Echinodermata" "Crinoidea" "Dendrocrinida" "Aesiocrinidae" "Aesiocrinus" 318.1 268 39 48
"473" "Echinodermata" "Crinoidea" "Dendrocrinida" "Dendrocrinidae" "Aetocrinus" 477.7 433.4 15 23
"476" "Echinodermata" "Crinoidea" "Sagenocrinida" "Dactylocrinidae" "Aexitrophocrinus" 339.4 307 37 40
"478" "Echinodermata" "Crinoidea" "Dendrocrinida" "Pirasocrinidae" "Affinocrinus" 323.2 314.6 39 40
"486" "Echinodermata" "Ophiuroidea" "Ophiurida" "Aganasteridae" "Aganaster" 345.3 259.9 37 49
"587" "Echinodermata" "Echinoidea" "Spatangoida" "Schizasteridae" "Agassizia" 48.6 0.781 84 94
"631" "Echinodermata" "Edrioasteroidea" "Isorophida" "Agelacrinitidae" "Agelacrinites" 460.9 358.9 17 35
"644" "Echinodermata" "Crinoidea" "Dendrocrinida" "Blothrocrinidae" "Agnostocrinus" 290.1 265.1 45 48
"720" "Echinodermata" "Crinoidea" "Ampelocrinida" "Calceolispongiidae" "Allosocrinus" 305.9 302.2 41 42
"722" "Echinodermata" "Crinoidea" "Diplobathrida" "Dimerocrinitidae" "Allozygocrinus" 438.5 430.5 23 24
"725" "Echinodermata" "Crinoidea" "Millericrinida" "Cyclocrinidae" "Amaltheocrinus" 199.3 171.6 60 63
"737" "Echinodermata" "Echinoidea" "Echinoneoida" "Echinoneidae" "Amblypygus" 56 33.9 84 87
"761" "Echinodermata" "Crinoidea" "Ampelocrinida" "Ampelocrinidae" "Ampelocrinus" 336 314.6 37 40
"770" "Echinodermata" "Echinoidea" "Clypeasteroida" "Astriclypeidae" "Amphiope" 33.9 15.97 88 90
"783" "Echinodermata" "Ophiuroidea" "Ophiurida" "Amphiuridae" "Amphiura" 100.5 5.333 76 92
"807" "Echinodermata" "Paracrinoidea" "Comarocystitida" "Amygdalocystitidae" "Amygdalocystites" 460.9 449.5 17 19
"829" "Echinodermata" "Stylophora" "Mitrata" "Kirkocystidae" "Anatiferocystis" 470 443.4 16 21
"837" "Echinodermata" "Stylophora" "Mitrata" "Kirkocystidae" "Anatifopsis" 485.4 445.6 14 19
"893" "Echinodermata" "Echinoidea" "Spatangoida" "Schizasteridae" "Anisaster" 41.3 23.03 85 89
"898" "Echinodermata" "Crinoidea" "Sagenocrinida" "Anisocrinidae" "Anisocrinus" 445.2 427.4 20 25
"900" "Echinodermata" "Crinoidea" "Dendrocrinida" "Anobasicrinidae" "Anobasicrinus" 318.1 303.4 39 42
"914" "Echinodermata" "Stylophora" "Mitrata" "Anomalocystitidae" "Anomalocystites" 466 410.8 17 29
"918" "Echinodermata" "Echinoidea" "Holectypoida" "Anorthopygidae" "Anorthopygus" 105.3 93.5 75 77
"927" "Echinodermata" "Crinoidea" "Diplobathrida" "Anthracocrinidae" "Anthracocrinus" 470 449.5 16 19
"938" "Echinodermata" "Crinoidea" "Calceocrinida" "Calceocrinidae" "Anulocrinus" 470 445.6 16 19
"959" "Echinodermata" "Crinoidea" "Dendrocrinida" "Aphelecrinidae" "Aphelecrinus" 358.9 318.1 36 39
"971" "Echinodermata" "Crinoidea" "Millericrinida" "Apiocrinitidae" "Apiocrinites" 170.3 109 64 75
"983" "Echinodermata" "Crinoidea" "Millericrinida" "Apiocrinidae" "Apiocrinus" 247.2 132.9 53 72
"1001" "Echinodermata" "Ophiuroidea" "Ophiurida" "Ophiolepididae" "Aplocoma" 247.2 130 53 73
"1011" "Echinodermata" "Crinoidea" "Homocrinida" "Homocrinidae" "Apodasmocrinus" 485.4 443.4 14 21
"1046" "Echinodermata" "Crinoidea" "Roveacrinida" "Saccocomidae" "Applinocrinus" 83.5 61.6 80 82
"1076" "Echinodermata" "Echinoidea" "Arbacioida" "Arbaciidae" "Arbacia" 139.8 0.781 70 94
"1138" "Echinodermata" "Crinoidea" "Diplobathrida" "Rhodocrinitidae" "Archaeocrinus" 485.4 443.4 14 21
"1168" "Echinodermata" "Ophiuroidea" "Ophiurida" "Ophiolepididae" "Archaeophiomusium" 301.2 272.3 42 46
"1204" "Echinodermata" "Ophiuroidea" "Ophiurida" "Aplocomidae" "Arenorbis" 247.2 237 53 55
"1314" "Echinodermata" "Asteroidea" "Valvatida" "Stauranderasteridae" "Aspidaster" 130 66 73 81
"1318" "Echinodermata" "Ophiuroidea" "Ophiurida" "Ophiuridae" "Aspiduriella" 247.2 201.3 53 58
"1340" "Echinodermata" "Crinoidea" "Monobathrida" "Stelidiocrinidae" "Astakocrinus" 449.5 443.4 19 21
"1344" "Echinodermata" "Asteroidea" "Forcipulatida" "Asteriidae" "Asterias" 189.6 7.246 61 92
"1349" "Echinodermata" "Echinoidea" "Clypeasteroida" "Astriclypeidae" "Astriclypeus" 28.4 2.588 88 93
"1355" "Echinodermata" "Edrioasteroidea" "Pentacystida" "Steganoblastidae" "Astrocystites" 460.9 449.5 17 19
"1363" "Echinodermata" "Echinoidea" "Clypeasteroida" "Echinarachniidae" "Astrodapsis" 23.03 2.588 90 93
"1380" "Echinodermata" "Asteroidea" "Paxillosida" "Astropectinidae" "Astropecten" 167.7 11.608 65 92
"1423" "Echinodermata" "Crinoidea" "Isocrinida" "Isselicrinidae" "Austinocrinus" 100.5 66 76 81
"1444" "Echinodermata" "Crinoidea" "Angulata" "Babanicrinidae" "Babanicrinus" 466 445.2 17 19
"1459" "Echinodermata" "Echinoidea" "Cidaroida" "Cidaridae" "Balanocidaris" 237 70.6 56 81
"1487" "Echinodermata" "Crinoidea" "Isocrinida" "Isocrinidae" "Balanocrinus" 247.2 15.97 53 90
"1565" "Echinodermata" "Stylophora" "Mitrata" "Kirkocystidae" "Balanocystites" 478.6 460.9 14 17
"1712" "Echinodermata" "Asteroidea" "Valvatida" "Radiasteridae" "Betelgeusia" 129.4 61.6 73 82
"1774" "Echinodermata" "Crinoidea" "Dendrocrinida" "Glossocrinidae" "Blothrocrinus" 364.7 345.3 35 37
"1798" "Echinodermata" "Echinoidea" "Bothriocidaroida" "Bothriocidaridae" "Bothriocidaris" 460.9 443.7 17 21
"1924" "Echinodermata" "Crinoidea" "Cyathocrinida" "Gasterocomidae" "Bouskacrinus" 433.4 407.6 24 30
"1933" "Echinodermata" "Echinoidea" "Spatangoida" "Loveniidae" "Breynia" 11.608 2.588 92 93
"1937" "Echinodermata" "Crinoidea" "Dendrocrinida" "Bridgerocrinidae" "Bridgerocrinus" 376.1 358.9 34 35
"1940" "Echinodermata" "Echinoidea" "Spatangoida" "Schizasteridae" "Brisaster" 33.9 15.97 88 90
"1950" "Echinodermata" "Echinoidea" "Spatangoida" "Brissidae" "Brissopatagus" 37.2 5.333 87 92
"1955" "Echinodermata" "Echinoidea" "Spatangoida" "Micrasteridae" "Brissopneustes" 70.6 61.6 81 82
"1959" "Echinodermata" "Echinoidea" "Spatangoida" "Brissidae" "Brissopsis" 47.8 0.0117 85 94
