"Order" "Superfamily" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"1" "Miliolida" "Alveolinoidea" "Alveolinidae" "Alveolinella" 13.82 0 91 94
"2" "Miliolida" "Alveolinoidea" "Alveolinidae" "Flosculinella" 20.44 13.27 90 91
"3" "Miliolida" "Alveolinoidea" "Alveolinidae" "Alveolina" 59.18 33.9 83 87
"4" "Miliolida" "Alveolinoidea" "Alveolinidae" "Borelis" 41.2 0 86 94
"5" "Miliolida" "Alveolinoidea" "Alveolinidae" "Bullalveolina" 33.9 23.03 88 89
"6" "Miliolida" "Alveolinoidea" "Alveolinidae" "Globoreticulina" 47.8 37.8 85 86
"7" "Miliolida" "Alveolinoidea" "Alveolinidae" "Glomalveolina" 61.6 37.8 83 86
"9" "Miliolida" "Alveolinoidea" "Alveolinidae" "Praebullalveolina" 41.2 33.9 86 87
"12" "Miliolida" "Alveolinoidea" "Alveolinidae" "Helenalveolina" 88 85 78 79
"14" "Miliolida" "Alveolinoidea" "Alveolinidae" "Ovalveolina" 113 93.9 75 76
"15" "Miliolida" "Alveolinoidea" "Alveolinidae" "Praealveolina" 111.5 89.8 75 77
"19" "Miliolida" "Alveolinoidea" "Alveolinidae" "Subalveolina" 84.3 72.1 79 80
"20" "Miliolida" "Alveolinoidea" "Fabulariidae" "Fabularia" 47.8 33.9 85 87
"21" "Miliolida" "Alveolinoidea" "Fabulariidae" "Lacazina" 89.8 28.1 78 88
"22" "Miliolida" "Alveolinoidea" "Fabulariidae" "Lacazinella" 59.2 33.9 83 87
"23" "Miliolida" "Alveolinoidea" "Fabulariidae" "Neolacazopsis" 47.8 33.9 85 87
"24" "Miliolida" "Alveolinoidea" "Fabulariidae" "Pseudofabularia" 47.8 37.8 85 86
"25" "Miliolida" "Alveolinoidea" "Fabulariidae" "Pseudolacazina" 86.3 33.9 79 87
"28" "Miliolida" "Alveolinoidea" "Rhapydioninidae" "Chubbina" 83.6 66 80 81
"30" "Miliolida" "Alveolinoidea" "Rhapydioninidae" "Pseudedomia" 100.5 66 76 81
"32" "Miliolida" "Alveolinoidea" "Rhapydioninidae" "Rhapydionina" 98 66 76 81
"33" "Miliolida" "Cornuspiroidea" "Discospirinidae" "Discospirina" 15.97 0 91 94
"34" "Miliolida" "Cornuspiroidea" "Arenovidalinidae" "Arenovidalina" 252.2 241.5 52 54
"35" "Miliolida" "Cornuspiroidea" "Arenovidalinidae" "Paratriasina" 242 239 54 55
"38" "Miliolida" "Cornuspiroidea" "Ophthalmidiidae" "Ophthalmidium" 237 152.1 56 68
"39" "Miliolida" "Cornuspiroidea" "Meandrospiridae" "Meandrospira" 290.1 0 45 94
"40" "Miliolida" "Cornuspiroidea" "Meandrospiridae" "Meandrospiranella" 247.1 93.9 54 76
"41" "Miliolida" "Cornuspiroidea" "Meandrospiridae" "Turriglomina" 247.1 201.3 54 58
"43" "Miliolida" "Cornuspiroidea" "Cornuspiridae" "Cornuspira" 315.2 0 40 94
"44" "Miliolida" "Cornuspiroidea" "Cornuspiridae" "Rectocornuspira" 315.2 250 40 52
"45" "Miliolida" "Cornuspiroidea" "Hemigordiidae" "Hemigordius" 334 298.9 37 42
"46" "Miliolida" "Cornuspiroidea" "Hemigordiidae" "Neohemigordius" 298.9 290.1 43 44
"48" "Miliolida" "Cornuspiroidea" "Hemigordiopsidae" "Agathammina" 329 201.3 38 58
"49" "Miliolida" "Cornuspiroidea" "Hemigordiopsidae" "Multidiscus" 346.7 0 37 94
"50" "Miliolida" "Cornuspiroidea" "Hemigordiopsidae" "Hemigordiopsis" 272.3 259.8 47 49
"51" "Miliolida" "Cornuspiroidea" "Hemigordiopsidae" "Shanita" 259.8 252.2 50 51
"52" "Miliolida" "Cornuspiroidea" "Hoynellidae" "Hoynella" 252.2 174.1 52 62
"55" "Miliolida" "Milioloidea" "Rivieroinidae" "Pseudohauerina" 33.9 0 88 94
"57" "Miliolida" "Milioloidea" "Austrotrillinidae" "Austrotrillina" 29.8 13.82 88 91
"58" "Miliolida" "Milioloidea" "Hauerinidae" "Heterillina" 47.8 23.03 85 89
"60" "Miliolida" "Milioloidea" "Nautiloculinidae" "Nautiloculina" 189 100.5 61 75
"61" "Miliolida" "Soritoidea" "Peneroplidae" "Laevipeneroplis" 23.03 0 90 94
"62" "Miliolida" "Soritoidea" "Peneroplidae" "Archiacina" 33.9 23.03 88 89
"63" "Miliolida" "Soritoidea" "Peneroplidae" "Dendritina" 47.8 0 85 94
"64" "Miliolida" "Soritoidea" "Peneroplidae" "Haymanella" 66 56 82 83
"67" "Miliolida" "Soritoidea" "Peneroplidae" "Peneroplis" 56 0 84 94
"68" "Miliolida" "Soritoidea" "Peneroplidae" "Puteolina" 33.9 0 88 94
"69" "Miliolida" "Soritoidea" "Peneroplidae" "Raoia" 66 56 82 83
"70" "Miliolida" "Soritoidea" "Peneroplidae" "Spirolina" 56 0 84 94
"71" "Miliolida" "Soritoidea" "Soritidae" "Androsina" 2.59 0 93 94
"72" "Miliolida" "Soritoidea" "Soritidae" "Androsinopsis" 11.63 5.33 92 93
"73" "Miliolida" "Soritoidea" "Soritidae" "Annulosorites" 11.63 5.33 92 93
"74" "Miliolida" "Soritoidea" "Soritidae" "Archaias" 47.8 0 85 94
"75" "Miliolida" "Soritoidea" "Soritidae" "Cycloputeolina" 23.03 0 90 94
"76" "Miliolida" "Soritoidea" "Soritidae" "Fusarchaias" 33.9 5.333 88 92
"77" "Miliolida" "Soritoidea" "Soritidae" "Marginopora" 23.03 0 90 94
"78" "Miliolida" "Soritoidea" "Soritidae" "Miarchaias" 11.63 5.33 92 93
"79" "Miliolida" "Soritoidea" "Soritidae" "Miosorites" 20.44 2.588 90 93
"80" "Miliolida" "Soritoidea" "Soritidae" "Parasorites" 11.63 0 92 94
"82" "Miliolida" "Soritoidea" "Soritidae" "Sorites" 33.9 0 88 94
"83" "Miliolida" "Soritoidea" "Soritidae" "Amphisorus" 28.1 0 89 94
"84" "Miliolida" "Soritoidea" "Soritidae" "Cyclorbiculina" 28.1 0 89 94
"85" "Miliolida" "Soritoidea" "Soritidae" "Cyclorbiculinoides" 47.8 33.9 85 87
"87" "Miliolida" "Soritoidea" "Soritidae" "Neorhipidionina" 47.8 37.8 85 86
"89" "Miliolida" "Soritoidea" "Soritidae" "Opertorbitolites" 59.2 47.8 83 84
"90" "Miliolida" "Soritoidea" "Soritidae" "Orbitolites" 56 37.8 84 86
