"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"1" "Mollusca" "Gastropoda" "Cephalaspidea" "Cylichnidae" "Abderospira" 56 0 84 94
"37" "Mollusca" "Gastropoda" "Neogastropoda" "Turridae" "Acamptogenotia" 47.8 7.246 85 92
"75" "Mollusca" "Gastropoda" "Neogastropoda" "Muricidae" "Acanthina" 28.4 0 88 94
"159" "Mollusca" "Gastropoda" "Euomphalina" "Euomphalidae" "Acanthonema" 407.6 387.7 31 32
"163" "Mollusca" "Gastropoda" "Neogastropoda" "Muricidae" "Acanthotrophon" 7.246 3.6 92 93
"184" "Mollusca" "Gastropoda" "Architaenioglossa" "Aciculidae" "Acicula" 15.97 5.333 91 92
"249" "Mollusca" "Gastropoda" "Murchisoniina" "Murchisoniidae" "Aclisina" 358.9 252.17 36 52
"265" "Mollusca" "Gastropoda" "Patellogastropoda" "Lottiidae" "Acmaea" 125 0 74 94
"463" "Mollusca" "Gastropoda" "Architaenioglossa" "Aciculidae" "Acme" 12.7 5.333 91 92
"514" "Mollusca" "Gastropoda" "Allogastropoda" "Mathildidae" "Acrocoelum" 66 38 82 86
"528" "Mollusca" "Gastropoda" "Sorbeoconcha" "Turritellidae" "Actaeonema" 48.6 37.2 84 87
"530" "Mollusca" "Gastropoda" "Entomotaeniata" "Cimidae" "Actaeopyramis" 61.6 0.0117 83 94
"540" "Mollusca" "Gastropoda" "Cephalaspidea" "Cylichnidae" "Acteocina" 129.4 0 73 94
"849" "Mollusca" "Gastropoda" "Architectibranchia" "Acteonidae" "Acteon" 145 0.0117 70 94
"1262" "Mollusca" "Gastropoda" "Architectibranchia" "Acteonellidae" "Acteonella" 237 66 56 81
"1405" "Mollusca" "Gastropoda" "Neogastropoda" "Volutidae" "Adelomelon" 37.2 0 87 94
"1453" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Admete" 61.6 0.0117 83 94
"1476" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Admetula" 66 2.588 82 93
"1525" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Aeneator" 56 0.126 84 94
"1536" "Mollusca" "Gastropoda" "Neogastropoda" "Columbellidae" "Aesopus" 5.333 0.0117 93 94
"1552" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinulidae" "Aethocola" 28.4 15.9 88 91
"1558" "Mollusca" "Gastropoda" "Neogastropoda" "Cochlespiridae" "Aforia" 41.3 3.6 85 93
"1609" "Mollusca" "Gastropoda" "Neogastropoda" "Olivellidae" "Agaronia" 66 0.0117 82 94
"1807" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Agasoma" 38 13.6 86 91
"1863" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Agatrix" 33.9 0.781 88 94
"1913" "Mollusca" "Gastropoda" "Sorbeoconcha" "Procerithiidae" "Ageria" 100.5 66 76 81
"1915" "Mollusca" "Gastropoda" "Neogastropoda" "Drilliidae" "Agladrillia" 20.44 1.806 90 94
"1990" "Mollusca" "Gastropoda" "Bellerophontida" "Bellerophontidae" "Aglaoglypta" 387.7 358.9 33 35
"2011" "Mollusca" "Gastropoda" "Murchisoniina" "Porcelliidae" "Agnesia" 388.1 326.4 32 38
"2028" "Mollusca" "Gastropoda" "Tectibranchia" "Akeridae" "Akera" 170.3 0.0117 64 94
"2080" "Mollusca" "Gastropoda" "Sorbeoconcha" "Litiopidae" "Alaba" 61.6 0 83 94
"2143" "Mollusca" "Gastropoda" "Sorbeoconcha" "Cerithiidae" "Alabina" 33.9 0.0117 88 94
"2213" "Mollusca" "Gastropoda" "Euomphalina" "Euomphalidae" "Alaionema" 410.8 382.7 30 33
"2218" "Mollusca" "Gastropoda" "Bellerophontida" "Tropidodiscidae" "Alaskadiscus" 460.9 443.4 17 21
"2266" "Mollusca" "Gastropoda" "Neogastropoda" "Volutidae" "Alcithoe" 56 2.588 84 93
"2306" "Mollusca" "Gastropoda" "Cephalaspidea" "Haminoeidae" "Aliculastrum" 47.8 0.0117 85 94
"2330" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Aliofusus" 100.5 66 76 81
"2345" "Mollusca" "Gastropoda" "Murchisoniina" "Zygopleuridae" "Allocosmia" 247.2 168.3 53 64
"2359" "Mollusca" "Gastropoda" "Murchisoniina" "Murchisoniidae" "Altadema" 313.8 302.2 40 42
"2805" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Amarophos" 23.03 3.6 90 93
"2964" "Mollusca" "Gastropoda" "Euomphalina" "Microdomatidae" "Amaurotoma" 345 272.3 37 46
"3041" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Ambozone" 336 259.9 37 49
"3053" "Mollusca" "Gastropoda" "Neogastropoda" "Turridae" "Amekicythara" 56 33.9 84 87
"3075" "Mollusca" "Gastropoda" "Neogastropoda" "Volutidae" "Amoria" 15.97 0.0117 91 94
"3086" "Mollusca" "Gastropoda" "Murchisoniina" "Zygopleuridae" "Ampezzopleura" 251.3 228 52 57
