"","sys","system","series","stage","short","bottom","mid","top","dur","stg","systemCol","seriesCol","col"
"1","E","Ediacaran","Ediacaran","Avalon Assemblage","Ava",575,567.5,560,15,1,"#fddd88","#fddd88","#fcd589"
"2","E","Ediacaran","Ediacaran","White Sea Assemblage","Whs",560,554.5,549,11,2,"#fddd88","#fddd88","#fdd587"
"3","E","Ediacaran","Ediacaran","Nama Assemblage","Nam",549,545,541,8,3,"#fddd88","#fddd88","#fed583"
"4","Cm","Cambrian","Terreneuvian","Fortunian","For",541,535,529,12,4,"#94ac72","#9db989","#a9be93"
"5","Cm","Cambrian","Terreneuvian","Stage 2","St2",529,525,521,8,5,"#94ac72","#9db989","#b6c29e"
"6","Cm","Cambrian","Series 2","Stage 3","St3",521,517.5,514,7,6,"#94ac72","#a9c595","#b5ca9f"
"7","Cm","Cambrian","Series 2","Stage 4","St4",514,511.5,509,5,7,"#94ac72","#a9c595","#c0ceaa"
"8","Cm","Cambrian","Series 3","Stage 5","St5",509,506.75,504.5,4.5,8,"#94ac72","#b6d2a2","#c1d6af"
"9","Cm","Cambrian","Series 3","Drumian","Dru",504.5,502.5,500.5,4,9,"#94ac72","#b6d2a2","#cddbb8"
"10","Cm","Cambrian","Series 3","Guzhangian","Guz",500.5,498.75,497,3.5,10,"#94ac72","#b6d2a2","#d6e1c1"
"11","Cm","Cambrian","Furongian","Paibian","Pai",497,495.5,494,3,11,"#94ac72","#c2ddb0","#d8e8c4"
"12","Cm","Cambrian","Furongian","Jiangshanian","Jia",494,491.75,489.5,4.5,12,"#94ac72","#c2ddb0","#e4efcf"
"13","Cm","Cambrian","Furongian","Lawsonian","Law",489.5,487.45,485.4,4.1,13,"#94ac72","#c2ddb0","#edf2db"
"14","O","Ordovician","Lower Ordovician","Tremadocian","Tre",485.4,481.55,477.7,7.7,14,"#009881","#00a180","#0dac98"
"15","O","Ordovician","Lower Ordovician","Floian","Flo",477.7,473.85,470,7.7,15,"#009881","#00a180","#0eb1a0"
"16","O","Ordovician","Middle Ordovician","Dapingian","Dap",470,468.65,467.3,2.7,16,"#009881","#34b597","#67c0ae"
"17","O","Ordovician","Middle Ordovician","Darriwilian","Dar",467.3,462.85,458.4,8.9,17,"#009881","#34b597","#79c5b8"
"18","O","Ordovician","Upper Ordovician","Sandbian","Sbd",458.4,455.7,453,5.4,18,"#009881","#8ccbae","#9bceaf"
"19","O","Ordovician","Upper Ordovician","Katian","Kat",453,449.1,445.2,7.8,19,"#009881","#8ccbae","#a6d5c3"
"20","O","Ordovician","Upper Ordovician","Hirnantian","Hir",445.2,444.3,443.8,1.8,20,"#009881","#8ccbae","#b6d9c3"
"21","S","Silurian","Llandovery","Rhuddanian","Rhu",443.8,442.1,440.8,2.6,21,"#bfe0cd","#8ccbae","#b3dccc"
"22","S","Silurian","Llandovery","Aeronian","Aer",440.8,439.65,438.5,2.3,22,"#bfe0cd","#8ccbae","#c1e1d6"
"23","S","Silurian","Llandovery","Telychian","Tel",438.5,435.95,433.4,5.1,23,"#bfe0cd","#8ccbae","#cae8e0"
"24","S","Silurian","Wenlock","Sheinwoodian","She",433.4,431.95,430.5,2.9,24,"#bfe0cd","#c1e1d6","#cce7d8"
"25","S","Silurian","Wenlock","Homerian","Hom",430.5,428.95,427.4,3.1,25,"#bfe0cd","#c1e1d6","#d6ebe2"
"26","S","Silurian","Ludlow","Gorstian","Gor",427.4,426.5,425.6,1.8,26,"#bfe0cd","#cce7e2","#d6ecea"
"27","S","Silurian","Ludlow","Ludfordian","Lud",425.6,424.3,423,2.6,27,"#bfe0cd","#cce7e2","#e2f1ec"
"28","S","Silurian","Pridoli","Pridoli","Pri",423,421.1,419.2,3.8,28,"#bfe0cd","#ebf5ec","#ebf5ec"
"29","D","Devonian","Lower Devonian","Lochkovian","Loc",419.2,415,410.8,8.4,29,"#d49f51","#e9ba6a","#eac378"
"30","D","Devonian","Lower Devonian","Pragian","Pra",410.8,409.2,407.6,3.2,30,"#d49f51","#e9ba6a","#ebcd87"
