"Order" "Family" "Subfamily" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"4" "Rodentia" "Muridae" "Sigmodontinae" "Abelmoschomys" 12.1 4.9 91 93
"29" "Rodentia" "Gerbillidae" "Gerbillinae" "Abudhabia" 11.2 3.56 92 93
"53" "Carnivora" "Mustelidae" "Mustelavinae" "Acheronictis" 28.1 23 89 90
"55" "Artiodactyla" "Merycoidodontidae" "Aclistomycterinae" "Aclistomycter" 40 34.7 86 87
"58" "Perissodactyla" "Equidae" "Equinae" "Acritohippus" 17.5 14.8 90 91
"86" "Rodentia" "Ischyromyidae" "Reithroparamyinae" "Acritoparamys" 56 46.9 84 85
"119" "Eulipotyphla" "Soricidae" "Soricinae" "Adeloblarina" 17.5 14.8 90 91
"122" "Rodentia" "Muridae" "Adelomyarioninae" "Adelomyarion" 34 24 87 89
"133" "Rodentia" "Eomyidae" "Eomyinae" "Adjidaumo" 49 18.8 84 90
"178" "Carnivora" "Canidae" "Borophaginae" "Aelurodon" 16 7.6 90 92
"238" "Artiodactyla" "Anthracotheriidae" "Bothriodontinae" "Aepinacodon" 40 34.7 86 87
"244" "Artiodactyla" "Camelidae" "Camelinae" "Aepycamelus" 18.8 4.9 90 93
"310" "Rodentia" "Muridae" "Murinae" "Aethomys" 7.1 0.126 92 94
"334" "Rodentia" "Castoridae" "Agnotocastorinae" "Agnotocastor" 36.5 23 87 90
"350" "Carnivora" "Ursidae" "Ailuropodinae" "Agriarctos" 12.5 9.5 91 92
"352" "Artiodactyla" "Agriochoeridae" "Agriochoerinae" "Agriochoerus" 43.8 23 85 90
"471" "Artiodactyla" "Suidae" "Cainochoerinae" "Albanohyus" 18 11.2 90 92
"501" "Artiodactyla" "Camelidae" "Camelinae" "Alforjas" 12.1 5.9 91 92
"515" "Lagomorpha" "Leporidae" "Leporinae" "Alilepus" 23.8 2.5 89 94
"542" "Rodentia" "Muridae" "Cricetinae" "Allocricetus" 9 0.301 92 94
"618" "Rodentia" "Aplodontidae" "Allomyinae" "Allomys" 32 14.8 88 91
"635" "Rodentia" "Muridae" "Arvicolinae" "Allophaiomys" 5.3 0.787 93 94
"686" "Eulipotyphla" "Soricidae" "Soricinae" "Alluvisorex" 16 6.8 90 92
"696" "Rodentia" "Mylagaulidae" "Mylagaulinae" "Alphagaulus" 23 14.8 90 91
"717" "Lagomorpha" "Leporidae" "Leporinae" "Aluralagus" 4.9 2.5 93 94
"724" "Rodentia" "Aplodontidae" "Allomyinae" "Alwoodia" 30 23 88 90
"739" "Rodentia" "Sciuridae" "Sciurinae" "Ammospermophilus" 14.8 4.9 91 93
"753" "Eulipotyphla" "Erinaceidae" "Erinaceinae" "Amphechinus" 28.1 9.5 89 92
"809" "Perissodactyla" "Rhinocerotidae" "Teletaceriidae" "Amphicaenopus" 35.7 30 87 88
"812" "Carnivora" "Amphicyonidae" "Amphicyoninae" "Amphicyon" 18.8 14.8 90 91
"826" "Condylarthra" "Arctocyonidae" "Arctocyoninae" "Anacodon" 57.7 53 83 84
"837" "Euprimates" "Omomyidae" "Anaptomorphinae" "Anaptomorphus" 49.9 46.9 84 85
"844" "Rodentia" "Muridae" "Cricetinae" "Anatolomys" 9 5.3 92 93
"850" "Perissodactyla" "Equidae" "Anchitheriinae" "Anchippus" 28.1 18.8 89 90
"857" "Rodentia" "Castoridae" "Agnotocastorinae" "Anchitheriomys" 18.8 14.8 90 91
"936" "Condylarthra" "Periptychidae" "Anisonchinae" "Anisonchus" 65 59.9 82 83
"969" "Eulipotyphla" "Sespedectidae" "Scenopaginae" "Ankylodon" 42.8 33.7 85 88
"978" "Rodentia" "Muridae" "Anomalomyinae" "Anomalomys" 20 5.3 90 93
"1109" "Rodentia" "Aplodontidae" "Ansomyinae" "Ansomys" 33.7 14.8 88 91
"1111" "Rodentia" "Muridae" "Murinae" "Antemus" 23.8 13 89 91
"1122" "Rodentia" "Muridae" "Murinae" "Anthracomys" 9 2.59 92 93
"1132" "Artiodactyla" "Dichobunidae" "Antiacodontinae" "Antiacodon" 53 42.8 84 85
"1154" "Cimolesta" "Apatemyidae" "Apatemyinae" "Apatemys" 57.3 37 83 87
"1227" "Condylarthra" "Mioclaenidae" "Apheliscinae" "Apheliscus" 56.3 52.7 83 84
"1250" "Perissodactyla" "Rhinocerotidae" "Aceratheriinae" "Aphelops" 18.8 4.9 90 93
"1348" "Cimolesta" "Pantolestidae" "Pentacodontinae" "Aphronorus" 64.1 56 82 83
"1370" "Rodentia" "Muridae" "Cricetinae" "Apocricetus" 9.5 2.59 92 93
"1424" "Rodentia" "Muridae" "Murinae" "Apodemus" 9.5 0.0441 92 94
"1852" "Perissodactyla" "Equidae" "Anchitheriinae" "Archaeohippus" 28.1 14.8 89 91
"1892" "Lagomorpha" "Leporidae" "Archaeolaginae" "Archaeolagus" 33.7 17.5 88 90
"1923" "Diprotodontia" "Macropodidae" "Sthenurinae" "Archaeosimos" 23.8 2.59 89 93
"1985" "Carnivora" "Mustelidae" "Melini" "Arctomeles" 5.9 4.9 92 93
"1987" "Rodentia" "Sciuridae" "Sciurinae" "Arctomyoides" 16 12.5 90 91
"1990" "Carnivora" "Procyonidae" "Procyoninae" "Arctonasua" 16 5.9 90 92
"2025" "Rodentia" "Cylindrodontidae" "Cylindrodontinae" "Ardynomys" 43.6 36.5 85 87
"2071" "Rodentia" "Eomyidae" "Eomyinae" "Arikareeomys" 28.1 23 89 90
"2074" "Carnivora" "Mustelidae" "Mustelavinae" "Arikarictis" 28.1 28.1 89 88
"2082" "Artiodactyla" "Anthracotheriidae" "Bothriodontinae" "Arretotherium" 30 18.8 88 90
"2096" "Rodentia" "Muridae" "Murinae" "Arvicanthis" 7.1 0.78 92 94
"2110" "Rodentia" "Muridae" "Arvicolinae" "Arvicola" 3.4 0.01 93 94
"2170" "Perissodactyla" "Equidae" "Equinae" "Astrohippus" 9 4.9 92 93
"2188" "Rodentia" "Hystricidae" "Atherurinae" "Atherurus" 11.2 1.2 92 94
"2210" "Rodentia" "Eomyidae" "Eomyinae" "Aulolithomys" 42.8 34.7 85 87
"2228" "Artiodactyla" "Suidae" "Hyotheriinae" "Aureliachoerus" 22.8 15.2 90 91
"2305" "Artiodactyla" "Dichobunidae" "Antiacodontinae" "Auxontodon" 49 42.8 84 85
"2330" "Rodentia" "Muridae" "Neotominae" "Baiomys" 5.9 2.5 92 94
"2358" "Rodentia" "Heteromyidae" "Mioheteromyinae" "Balantiomys" 23 14.8 90 91
"2367" "Rodentia" "Muridae" "Murinae" "Bandicota" 3.56 0.655 93 94
"2377" "Artiodactyla" "Dromomerycidae" "Cranioceratidae" "Barbouromeryx" 19.5 14.8 90 91
"2391" "Carnivora" "Procyonidae" "Procyoninae" "Bassariscus" 16 2.5 90 94
"2424" "Artiodactyla" "Merycoidodontidae" "Bathygeniinae" "Bathygenys" 40 34.7 86 87
"2449" "Cimolesta" "Pantolestidae" "Pantolestinae" "Bessoecetor" 64.1 57.3 82 83
"2521" "Rodentia" "Muridae" "Cricetodontinae" "Blancomys" 9.5 3.4 92 93
"2559" "Eulipotyphla" "Soricidae" "Soricinae" "Blarinella" 2.6 0.7 93 94
"2561" "Artiodactyla" "Moschidae" "Blastomerycinae" "Blastomeryx" 19.5 12.1 90 91
"2623" "Carnivora" "Amphicyonidae" "Daphoeninae" "Borocyon" 19.5 14.8 90 91
"2632" "Carnivora" "Canidae" "Borophaginae" "Borophagus" 12.5 1.9 91 94
"2732" "Rodentia" "Muridae" "Arvicolinae" "Borsodia" 4.2 0.427 93 94
"2777" "Artiodactyla" "Anthracotheriidae" "Bothriodontinae" "Bothriodon" 37 33.7 87 88
"2784" "Artiodactyla" "Dromomerycidae" "Cranioceratidae" "Bouromeryx" 57.3 14.8 83 91
"2814" "Artiodactyla" "Merycoidodontidae" "Ticholeptinae" "Brachycrus" 23 14.8 90 91
"2853" "Eulipotyphla" "Erinaceidae" "Brachyericinae" "Brachyerix" 28.1 2.5 89 94
"2883" "Carnivora" "Mephitidae" "Mephitini" "Brachyopsigale" 5.9 4.9 92 93
"2886" "Carnivora" "Mustelidae" "Oligobuninae" "Brachypsalis" 18.8 12.1 90 91
"2904" "Rodentia" "Muridae" "Rhizomyinae" "Brachyrhizomys" 11.2 3.56 92 93
"2941" "Artiodactyla" "Cervidae" "Odocoilini" "Bretzia" 5.9 2.5 92 94
"2945" "Artiodactyla" "Bovidae" "Caprinae" "Budorcas" 3.446 1.816 93 94
"2960" "Artiodactyla" "Suidae" "Listriodontinae" "Bunolistriodon" 23.8 7.1 89 92
"3107" "Rodentia" "Muridae" "Cricetodontinae" "Byzantinia" 17 7.2 90 92
"3178" "Artiodactyla" "Suidae" "Cainochoerinae" "Cainochoerus" 6.54 4.4 92 93
"3185" "Perissodactyla" "Equidae" "Equinae" "Calippus" 16 5.9 90 92
"3255" "Rodentia" "Sciuridae" "Sciurinae" "Callosciurus" 9 1.3 92 94
"3272" "Rodentia" "Muridae" "Sigmodontinae" "Calomys" 7.6 2.5 92 94
"3306" "Rodentia" "Muridae" "Myocricetodontinae" "Calomyscus" 7.1 4.2 92 93
"3314" "Artiodactyla" "Camelidae" "Camelinae" "Camelops" 4.9 1.9 93 94
"3362" "Rodentia" "Aplodontidae" "Prosciurinae" "Campestrallomys" 33.7 23 88 90
"3371" "Carnivora" "Canidae" "Caninae" "Canis" 12.1 0.85 91 94
"3480" "Rodentia" "Castoridae" "Palaeocastorinae" "Capacikala" 31.4 23 88 90
"3492" "Artiodactyla" "Bovidae" "Caprinae" "Capricornis" 3.4 0.08 93 94
"3518" "Artiodactyla" "Antilocapridae" "Antilocaprinae" "Capromeryx" 5.9 2.5 92 94
"3544" "Carnivora" "Canidae" "Borophaginae" "Carpocyon" 16 5.9 90 92
"3583" "Rodentia" "Muridae" "Murinae" "Castillomys" 7.1 1.77 92 94
"3645" "Rodentia" "Castoridae" "Castorinae" "Castor" 7.6 1.9 92 94
"3679" "Artiodactyla" "Tayassuidae" "Tayassuinae" "Catagonus" 7.6 4.9 92 93
"3700" "Rodentia" "Muridae" "Murinae" "Centralomys" 7.1 4.2 92 93
"3707" "Rodentia" "Mylagaulidae" "Mylagaulinae" "Ceratogaulus" 18.8 12.1 90 91
"3714" "Carnivora" "Canidae" "Caninae" "Cerdocyon" 5.9 4.9 92 93
