"Phylum" "Class" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"57" "Chordata" "Ornithischia" "Ceratopsidae" "Achelousaurus" 83.6 70.6 80 81
"59" "Chordata" "Saurischia" "Carcharodontosauridae" "Acrocanthosaurus" 125 109 74 75
"65" "Chordata" "Aves" "Acrocephalidae" "Acrocephalus" 11.1 0 92 94
"82" "Chordata" "Aves" "Scolopacidae" "Actitis" 4.9 0.0117 93 94
"88" "Chordata" "Aves" "Podicipedidae" "Aechmophorus" 4.9 0 93 94
"130" "Chordata" "Aves" "Aegothelidae" "Aegotheles" 19 0 90 94
"141" "Chordata" "Aves" "Accipitridae" "Aegypius" 5.333 0.0117 93 94
"189" "Chordata" "Aves" "Alcidae" "Aethia" 11.62 0 92 94
"209" "Chordata" "Aves" "Phasianidae" "Agriocharis" 4.9 0.126 93 94
"212" "Chordata" "Ornithischia" "Ceratopsidae" "Agujaceratops" 83.5 66 80 81
"219" "Chordata" "Aves" "Anatidae" "Aix" 15.97 0 91 94
"269" "Chordata" "Saurischia" "Tyrannosauridae" "Albertosaurus" 85.8 66 79 81
"285" "Chordata" "Aves" "Alcidae" "Alca" 15.97 0 91 94
"304" "Chordata" "Aves" "Phasianidae" "Alectoris" 4.2 0 93 94
"358" "Chordata" "Saurischia" "Allosauridae" "Allosaurus" 163.5 89.3 67 78
"521" "Chordata" "Ornithischia" "Iguanodontidae" "Amblydactylus" 129.4 93.5 73 77
"568" "Chordata" "Aves" "Accipitridae" "Amplibuteo" 4.9 0.0117 93 94
"573" "Chordata" "Aves" "Anatidae" "Anabernicula" 4.9 0.0117 93 94
"579" "Chordata" "Aves" "Anatidae" "Anas" 15.97 0 91 94
"743" "Chordata" "Ornithischia" "Ceratopsidae" "Anchiceratops" 83.5 66 80 81
"750" "Chordata" "Aves" "Accipitridae" "Anchigyps" 13.6 10.3 91 92
"757" "Chordata" "Aves" "Anhingidae" "Anhinga" 20.43 0.0117 90 94
"787" "Chordata" "Ornithischia" "Ankylosauridae" "Anodontosaurus" 83.6 66 80 81
"806" "Chordata" "Ornithischia" "Moyenisauropodidae" "Anomoepus" 237 139.8 56 70
"913" "Chordata" "Aves" "Anatidae" "Anser" 11.608 0 92 94
"1010" "Chordata" "Aves" "Gruidae" "Antigone" 13.6 0 91 94
"1034" "Chordata" "Saurischia" "Diplodocidae" "Apatosaurus" 157.3 145 68 69
"1152" "Chordata" "Aves" "Apodidae" "Apus" 5.333 0 93 94
"1164" "Chordata" "Aves" "Avipedidae" "Aquatilavipes" 163.5 66 67 81
"1170" "Chordata" "Aves" "Accipitridae" "Aquila" 20.44 0 90 94
"1221" "Chordata" "Aves" "Aramidae" "Aramus" 15.97 0.0117 91 94
"1242" "Chordata" "Saurischia" "Ornithomimidae" "Archaeornithomimus" 83.5 70.6 80 81
"1251" "Chordata" "Aves" "Ardeidae" "Ardea" 38 0 86 94
"1302" "Chordata" "Aves" "Procellariidae" "Ardenna" 15.97 0 91 94
"1356" "Chordata" "Aves" "Ardeidae" "Ardeola" 13.6 0.0117 91 94
"1376" "Chordata" "Ornithischia" "Ceratopsidae" "Arrhinoceratops" 83.5 66 80 81
"1385" "Chordata" "Aves" "Strigidae" "Asio" 4.2 0 93 94
"1422" "Chordata" "Aves" "Strigidae" "Athene" 11.1 0 92 94
"1469" "Chordata" "Saurischia" "Dromaeosauridae" "Atrociraptor" 83.5 66 80 81
"1474" "Chordata" "Saurischia" "Dromaeosauridae" "Austroraptor" 83.5 66 80 81
"1485" "Chordata" "Aves" "Avipedidae" "Avipeda" 11.608 2.588 92 93
"1487" "Chordata" "Aves" "Anatidae" "Aythya" 8.7 0 92 94
"1579" "Chordata" "Aves" "Gruidae" "Balearica" 13.6 5.333 91 92
"1582" "Chordata" "Aves" "Baptornithidae" "Baptornis" 89.8 70.6 78 81
"1588" "Chordata" "Ornithischia" "Iguanodontidae" "Barilium" 140.2 136.4 70 71
"1591" "Chordata" "Saurischia" "Diplodocidae" "Barosaurus" 157.3 145 68 69
"1607" "Chordata" "Aves" "Scolopacidae" "Bartramia" 10.3 0.0117 92 94
"1612" "Chordata" "Saurischia" "Spinosauridae" "Baryonyx" 140.2 125 70 74
"1616" "Chordata" "Aves" "Bathornithidae" "Bathornis" 37.2 20.43 87 90
"1634" "Chordata" "Ornithischia" "Iguanodontidae" "Bolong" 130 122.46 73 74
"1651" "Chordata" "Aves" "Cracidae" "Boreortalis" 20.43 10.3 90 92
"1653" "Chordata" "Aves" "Phalacrocoracidae" "Borvocarbo" 33.9 23.03 88 89
"1655" "Chordata" "Aves" "Ardeidae" "Botaurus" 4.9 0 93 94
"1665" "Chordata" "Saurischia" "Brachiosauridae" "Brachiosaurus" 161.2 145 67 69
"1676" "Chordata" "Ornithischia" "Hadrosauridae" "Brachylophosaurus" 83.6 66 80 81
"1682" "Chordata" "Aves" "Alcidae" "Brachyramphus" 4.9 0 93 94
"1692" "Chordata" "Aves" "Anatidae" "Branta" 15.97 0 91 94
"1757" "Chordata" "Saurischia" "Parabrontopodidae" "Breviparopus" 174.1 152.1 63 68
"1760" "Chordata" "Aves" "Brodavidae" "Brodavis" 83.5 66 80 81
"1820" "Chordata" "Aves" "Phorusrhacidae" "Brontornis" 23.03 11.608 90 92
"1824" "Chordata" "Saurischia" "Diplodocidae" "Brontosaurus" 157.3 145 68 69
"1843" "Chordata" "Aves" "Strigidae" "Bubo" 11.608 0 92 94
"1892" "Chordata" "Aves" "Anatidae" "Bucephala" 15.97 0 91 94
"1925" "Chordata" "Aves" "Burhinidae" "Burhinus" 20.43 0 90 94
"1934" "Chordata" "Aves" "Accipitridae" "Buteo" 33.9 0 88 94
"2025" "Chordata" "Aves" "Ardeidae" "Butorides" 4.9 0 93 94
"2035" "Chordata" "Saurischia" "Troodontidae" "Byronosaurus" 83.6 70.6 80 81
"2043" "Chordata" "Saurischia" "Caenagnathidae" "Caenagnathasia" 93.5 70.6 77 81
"2045" "Chordata" "Saurischia" "Caenagnathidae" "Caenagnathus" 83.5 66 80 81
"2052" "Chordata" "Saurischia" "Megaloolithidae" "Cairanoolithus" 83.6 66 80 81
"2069" "Chordata" "Aves" "Scolopacidae" "Calidris" 15.97 0 91 94
"2103" "Chordata" "Aves" "Odontophoridae" "Callipepla" 10.3 0 92 94
"2121" "Chordata" "Aves" "Procellariidae" "Calonectris" 15.97 0.0117 91 94
"2128" "Chordata" "Saurischia" "Camarasauridae" "Camarasaurus" 163.5 93.9 67 76
"2251" "Chordata" "Aves" "Hesperornithidae" "Canadaga" 83.6 66 80 81
"2282" "Chordata" "Saurischia" "Carcharodontosauridae" "Carcharodontosaurus" 145 70.6 70 81
"2322" "Chordata" "Ornithischia" "Iguanodontipodidae" "Caririchnium" 145 70.6 70 81
"2411" "Chordata" "Saurischia" "Caudipterygidae" "Caudipteryx" 130 122.46 73 74
"2413" "Chordata" "Saurischia" "Brachiosauridae" "Cedarosaurus" 129.4 105.3 73 75
"2415" "Chordata" "Ornithischia" "Ankylosauridae" "Cedarpelta" 125 100.5 74 75
"2428" "Chordata" "Ornithischia" "Ceratopsidae" "Centrosaurus" 83.6 66 80 81
"2472" "Chordata" "Aves" "Alcidae" "Cepphus" 11.62 0 92 94
"2493" "Chordata" "Aves" "Alcidae" "Cerorhinca" 11.62 0 92 94
"2539" "Chordata" "Aves" "Charadriidae" "Charadrius" 4.9 0 93 94
"2568" "Chordata" "Ornithischia" "Ceratopsidae" "Chasmosaurus" 83.6 70.6 80 81
"2608" "Chordata" "Saurischia" "Neovenatoridae" "Chilantaisaurus" 93.9 83.6 77 79
"2619" "Chordata" "Saurischia" "Caenagnathidae" "Chirostenotes" 83.5 66 80 81
"2645" "Chordata" "Aves" "Anatidae" "Chloephaga" 3.6 0 93 94
