"","gen_dur","subf_dur","fam_dur","supfam_dur","ord_dur","cla_dur"
"1",6.62,5.3185,99.5,92.955,305.405,315.2395
"2",24.18,0,165.25,325.005,299.7,418.155
"3",4.1,10.385,0,155.75,305.405,473.0735
"4",83.5,0,69.15,253.0745,473.0735,389.7
"5",27.13,11.0235,403.7,27.8,224.0235,219.05
"6",31.95,7.35,97.85,39.3,271.8395,133.2
"7",14.17,15.5395,110.785,77.7,19.6,477.5895
"8",14.17,0,144.5895,93.2395,104.1,2.48500000000001
"9",11.15,33.235,19.6,50.005,219.05,301.3895
"10",65.219,22.155,60.85,0,91.05,389.7
"11",1.092,35.6895,45.005,21.15,276.2235,369.55
"12",17.697,15.5395,0,225.1,239.375,152.7
"13",22.3,21.6045,66.55,91.8,233.67,477.5895
"14",25.13,16.45,90.3,11.5,125.1,477.5895
"15",50.7,0,91.05,289,145.3,211
"16",228.9,0,5.79999999999995,39.9,0,266.1
"17",8.724,11.0235,0,163.45,0,154.65
"18",11.6,21.6045,85.4,143.15,43.4,171.35
"19",48.9,15.5395,85.4,168.7,228.38,156.4395
"20",51.5,5.435,39.45,45.3,125.15,76.85
"21",31.5,4.516,87.55,72.1,224.0235,458.8895
"22",22.1,0,72.35,67.85,91.05,422.75
"23",22.6,22.5235,160.8395,57.5,245.05,418.3
"24",6.09999999999999,6.065,88.37,0,236.15,469.8895
"25",37.9,8.59999999999999,204.455,0,154.4,393.8
"26",37.1883,0,279.55,94.2,305.405,149.45
"27",8.79999999999998,5,27.8,82,155.75,18.7
"28",12.7,0,13.05,0,243,49.6
"29",16.4,20.15,4.9,60.75,98.1,6.59999999999997
"30",38.692,0,167.25,188.6,20.15,0
"31",197.3,14.25,98.2735,82.25,8.09999999999997,32.45
"32",56.9,11.0235,0,0,107.7,0
"33",130.53,0,17.8,169.465,25.85,477.5895
"34",7.4,0,0,37.55,0,NA
"35",1,19.15,0,0,18.7,NA
"36",6.62,0,218.2,132.85,2.48500000000001,NA
"37",12.93,0,102.75,107.3,13.85,NA
"38",40.519,0,122.9,0,412.45,NA
"39",1,27.0395,0,95.765,96.65,NA
"40",12.4,21.6045,244.6935,95.765,43.4,NA
"41",18,0,0,14,229.7,NA
"42",4.1,11.0235,35.3,50.4,192.85,NA
"43",11.15,12.25,0,82.25,97.95,NA
"44",59.074,0,0,62.165,98.1,NA
"45",29,6.065,20.75,8.09999999999997,43.4,NA
